"tweet_id","tweet_text","yes","no","dont_know","review_accepts","review_rejects","agreed","should_be_added"
"852083634873827328","@Joofvacature tweeted: Vacature: Anna's Bar zoekt horecapersoneel in Den Haag https://t.co/ngznyvAzZZ #delft #vacature #banen",0,0,0,0,0,true,false
"852078888591265792","@_Delft tweeted: Fietsenstalling 22 mei open De tweede ondergrondse fietsenstalling bij station #Delft gaat 22 mei officieel open, … https://t.co/7NPkbUwcns",0,0,0,0,0,true,false
"852068314687971328","@Tahzoo_NL tweeted: RT @ICTerGezocht: #Vacature #Delft @tahzoo | Java Developers gezocht, locatie Maarssen en Delft: Als Developer en Consultant bij… https://t…",0,0,0,0,0,true,false
"852072108276543489","@gaypalace tweeted: RT @POL_DenHaag: Herkent u de daders van beroving en mishandeling in nachttrein naar #Delft? Bel 0800-6070 of anoniem 0800-7000 \nhttps://t.…",0,0,0,0,0,true,false
"852066313338015745","@GemeenteDelft tweeted: Denk mee over het gebruik van openbaar water in #Delft 💦Kom donderdag 20 april naar de bijeenkomst ➡ https://t.co/TXMFlAzSE6 #nieuwbeleid",0,0,0,0,0,true,false
"852060469766520833","@nieuws_delft tweeted: Man uit Drachten maanden langer vast voor zaken uit vorige eeuw https://t.co/GJxqe8nJA7 #delft",0,0,0,0,0,true,false
"852055841813540864","@allandebruin tweeted: RT @POL_DenHaag: Herkent u de daders van beroving en mishandeling in nachttrein naar #Delft? Bel 0800-6070 of anoniem 0800-7000 \nhttps://t.…",0,0,0,0,0,true,false
"852021056218976257","@OverlastLAGA tweeted: 06:30 Bestuur/leden @DSRVLaga #Delft hebben schijt aan buren. Lawaai maken alsof ze #alleenopdewereld zijn @raad015\n\n#Overlast went #Nooit",0,0,0,0,0,true,false
"852043336290418689","@DearlyPreloved tweeted: Look at this on eBay  https://t.co/dcOzUK21zg #Delft hand painted canal houses #collectables #collectible #offers accepted",0,0,0,0,0,true,false
"852071463008038912","@TantiriCreatief tweeted: Helemaal mee eens. @DUitdaging bedankt voor de @beursvloer015. Een echte netwerkgelegenheid in #Delft. https://t.co/ddYxoLJOIE",0,0,0,0,0,true,false
"852068314658504704","@gjvlochem tweeted: RT @ICTerGezocht: #Vacature #Delft @tahzoo | Java Developers gezocht, locatie Maarssen en Delft: Als Developer en Consultant bij… https://t…",0,0,0,0,0,true,false
"852057579308167168","@_Delft tweeted: Galerie #Delft is terug van weggeweest #Delftopzondag.nl - Galerie #Delft heeft enkele weken geleden opnieuw haar … https://t.co/p9rdXO7IEe",0,0,0,0,0,true,false
"852064004197556224","@MCKarchitectuur tweeted: Het beste water, voor de beste koffie. @Mercatu Reeuwijk. #MCK uit #Delft https://t.co/T3RXQR49qf",0,0,0,0,0,true,false
"852055819789250560","@POL_DenHaag tweeted: Herkent u de daders van beroving en mishandeling in nachttrein naar #Delft? Bel 0800-6070 of anoniem 0800-7000 \nhttps://t.co/Iu9FnKAmyf",0,0,0,0,0,true,false
"852040433744007168","@FerrieForster tweeted: Delft gaat meedoen aan 115 Help een bedrijf. Ondernemers kunnen bij financiële nood aankloppen voor advies https://t.co/6aWsrBSKUI #Delft",0,0,0,0,0,true,false
"852062393433763840","@zaydtariq tweeted: RT @sonjaterheijden: Ik was te vroeg vandaag om de zon te zien opkomen, toch genoten ; ) Fijne dag allen, die van mij is druk : ) #Delft ht…",0,0,0,0,0,true,false
"852000397334020096","@p2000alarm_nl tweeted: #Delft / P 1 Brandmelding OMS (VK: 1) GGZ Delfland Sint Jorisweg 2 DLT 5530 / https://t.co/DwfLjOa1mp",0,0,0,0,0,true,false
"852056795099144192","@DUitdaging tweeted: RT @Luciededelft: @PieterStienstra @beursvloer015 @DUitdaging De beursvloer #Delft was weer heel goed geregeld! @DUitdaging",0,0,0,0,0,true,false
"852050550749319168","@p2000alarm_nl tweeted: #Delft / Prio 4 A13 L 13,7 DLT Wegverkeer verkeersstremming (Soort stremming: pechgeval) / https://t.co/4lg0Tt78ky",0,0,0,0,0,true,false
"852038579253526531","@post_vacatures tweeted: #zoektwerk #delenmag #delft Parttime Postbezorger | Delft, 2613 CK https://t.co/qzMQJxQzrq",0,0,0,0,0,true,false
"852056158093312005","@WijkagentEric tweeted: RT @POL_DenHaag: Herkent u de daders van beroving en mishandeling in nachttrein naar #Delft? Bel 0800-6070 of anoniem 0800-7000 \nhttps://t.…",0,0,0,0,0,true,false
"851916496594915328","@PPInternational tweeted: RT @PPDelft: Ook #Delft is volledig afhakelijk van closed source IT leveranciers, gevolg: Duur, onveilig:\nhttps://t.co/iU3cz9fZLE\nTijd voor…",0,0,0,0,0,true,false
"852048724570263552","@_Delft tweeted: KVK: Drie bedrijven nieuw ingeschreven in gemeente #Delft (week 14/17) De volgende drie bedrijven hebben zich de a… https://t.co/qHuKDmwxYm",0,0,0,0,0,true,false
"852037953995931650","@teymurazpq86ko tweeted: RT @Oceaanfietser: A great @BP_plc carwash in #Delft with a great guy. Totally clean again! https://t.co/kFq52jHgvo",0,0,0,0,0,true,false
