"tweet_id","tweet_text","yes","no","dont_know"
"850836464153890816","@_Delft tweeted: 8 april Veel rookontwikkeling bij brandend snoeiafval Tanthofdreef #Delft Zaterdagavond 8 april werd de #brandweer… https://t.co/cGsSwS3Gg0",0,0,0
"850855162323361793","@YOx2017 tweeted: Beautiful BK City at TU Delft #TUDelft #BKCity #Architecture #Netherlands #Delft #SpreadLove #ŸÔ… https://t.co/4D6dc0IBF0",0,0,0
"850828975970693120","@RedactieD8 tweeted: De brand is inmiddels geblust, de brandweer doet nog een controle met de warmtebeeldcamera. #Nijverheidsdwarsstraat #Delft",0,0,0
"850936434529894400","@PietervForeest tweeted: #wereld #Parkinsondag 11april  #informatiemarkt #PietersBehandelPraktijk #Naaldwijk #Thuiszorgwinkel #Delft https://t.co/gqvU7cJGo1",0,0,0
"850824589164908544","@PieterStienstra tweeted: Genoten van gevarieerd concert door 110 koppig koor en orkest @stanislascol  #Westplantsoen #Delft. https://t.co/kLKHIS7mlt",0,0,0
"850836466104250368","@_Delft tweeted: Brandweer rukt uit voor autobrand Nijverheidsdwarsstraat #Delft Zaterdagavond 8 april omstreeks 23.35 uur werd de … https://t.co/S64hGGylj2",0,0,0
"850828150485463040","@RedactieD8 tweeted: Drie personenauto's in brand op de #Nijverheidsdwarstraat in #Delft. Brandweer is bezig met het blussen van de voer… https://t.co/ima1Y5IOpr",0,0,0
"850960476964085760","@post_vacatures tweeted: #baan #werk #delft Bijbaan: postbezorger in DELFT Reinier de Graafbuu https://t.co/mM9ZG1ksSO",0,0,0
"850913084604530688","@BakerHughesJobs tweeted: Want to work in #Delft, Zuid-Holland? View our latest opening: https://t.co/LHkEuxK4fY #GeneralScience #Job #Jobs #Hiring",0,0,0
"850837831064973312","@poulussen tweeted: RT @MindelBlokhuize: Nog steeds #Vermist Britney 16 jr uit #Leiden! 5 april 14.53 in #Delft in trein gestapt om #Leiden te gaan. Uitgecheck…",0,0,0
"850829360584110080","@egorovakonkord2 tweeted: RT @Oceaanfietser: A great @BP_plc carwash in #Delft with a great guy. Totally clean again! https://t.co/kFq52jHgvo",0,0,0
"850824674510598145","@p2000alarm_nl tweeted: #Delft / P 1 Voertuigbrand (VK: 2) Nijverheidsdwarsstraat DLT 5530 / https://t.co/CRiR7Wcipu",0,0,0
"850944999659380736","@surwdb tweeted: Het Kalf  Surrealist Collaboration 2009 #surrealism #surrealisme #Schiedam  #Delft #NewYork  https://t.co/0xrJ8q2QmC",0,0,0
"850832794351566848","@memeresattic tweeted: RT @dupasseaupresen: Delft Duck Figurine #folkart #collectibles #farmhouse #homedecor #duck #handmade #delft #wiseshopper  https://t.co/2zL…",0,0,0
"850830586109345792","@StephanieRod24 tweeted: #Delft cocktribute #panties #hot legs xxx #erotica #goddess bbw squirt",0,0,0
"850828924175220737","@Dune015 tweeted: RT @RedactieD8: Drie personenauto's in brand op de #Nijverheidsdwarstraat in #Delft. Brandweer is bezig met het blussen van de voertuigen.…",0,0,0
